facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,OGI_t_since_last_LDAR,OGI_surveys_conducted,attempted_today_OGI?,surveys_done_this_year_OGI,OGI_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND00612,621,53.35,-115.28,1,4,2,120,5,30,120,11106.0776344896,1,16,False,,,13,9,72,6,False,1,0,0,0.22845691382765532,0.6930491633354237
ABRAND00504,311,53.28,-115.7,1,4,2,120,5,30,120,10221.452186227203,0,13,False,,,13,9,72,6,False,1,0,0,0.23046092184368738,0.6947739921000062
ABRAND00555,601,53.33,-115.53,1,4,2,120,5,30,120,7366.890770812801,0,15,False,,,13,9,72,6,False,1,0,0,0.23246492985971945,0.6964851080654658
ABRAND00558,311,53.34,-115.52,1,4,2,120,5,30,120,10369.2981134304,1,24,False,,,13,9,72,6,False,1,2,0,0.23446893787575152,0.6981925727461444
ABRAND00540,601,53.74,-115.59,1,4,2,120,5,30,120,11017.848129177602,0,18,False,,,13,9,72,6,False,1,0,0,0.23647294589178355,0.699895846729353
ABRAND00549,311,53.34,-115.54,1,4,2,120,5,30,120,11616.818762217601,1,17,False,,,13,9,72,6,False,1,4,0,0.23847695390781562,0.7015873746146417
ABRAND00701,601,52.99,-114.98,1,4,2,120,5,30,120,9947.375954409601,0,11,False,,,14,10,71,6,False,1,0,0,0.24048096192384769,0.7032559634599683
ABRAND00625,311,52.75,-115.24,1,4,2,120,5,30,120,19606.5143720928,0,17,False,,,14,10,71,6,False,1,0,0,0.24248496993987975,0.7049233779732166
ABRAND00679,351,52.91,-115.06,1,4,2,120,5,30,120,14360.830357334404,0,19,False,,,14,10,71,6,False,1,0,0,0.24448897795591182,0.7065839880773416
ABRAND00685,351,53.14,-115.05,1,4,2,120,5,30,120,12370.419656352002,0,11,False,,,14,10,71,6,False,1,0,0,0.24649298597194388,0.708208146672005
ABRAND00650,621,52.98,-115.15,1,4,2,120,5,30,120,24496.238749680004,1,12,False,,,14,10,71,6,False,1,5,0,0.24849699398797595,0.7098291024745361
ABRAND00645,361,53.02,-115.17,1,4,2,120,5,30,120,157504.4800051392,0,14,False,,,14,10,71,6,False,1,0,0,0.250501002004008,0.71144373333417
ABRAND00715,351,52.8,-114.88,1,4,2,120,5,30,120,14457.0951425664,1,17,False,,,14,10,71,6,False,1,0,0,0.25250501002004005,0.7130546524675792
ABRAND01109,601,49.39,-110.99,1,4,2,120,5,30,120,8833.220387884801,1,18,False,,,21,18,71,6,False,1,2,3,0.2545090180360721,0.7146655659723067
ABRAND01130,601,55.06,-110.75,1,4,2,120,5,30,120,10938.298235414399,1,13,False,,,10,18,70,6,False,1,0,1,0.2565130260521042,0.7162673242589426
ABRAND01105,601,50.74,-111.21,1,4,2,120,5,30,120,6052.137811430402,0,13,False,,,19,18,70,6,False,1,1,0,0.25851703406813625,0.7178667393515166
ABRAND01127,601,50.75,-110.76,1,4,2,120,5,30,120,23749.0183272384,1,13,False,,,18,18,70,6,False,1,1,0,0.2605210420841683,0.719434623090578
ABRAND01125,601,50.35,-110.77,1,4,2,120,5,30,120,2163.235319712,0,11,False,,,19,18,70,6,False,1,0,0,0.2625250501002004,0.7210003676057933
ABRAND01128,601,50.29,-110.76,1,4,2,120,5,30,120,17318.6572849056,0,14,False,,,19,18,70,6,False,1,0,0,0.26452905811623245,0.7225604813757457
ABRAND01065,601,51.69,-112.69,1,4,2,120,5,30,120,59272.479080956815,2,16,False,,,17,15,70,6,False,1,5,0,0.2665330661322645,0.7241160287936617
ABRAND01140,601,50.42,-110.66,1,4,2,120,5,30,120,12056.7566647584,0,12,False,,,19,19,70,6,False,1,0,0,0.2685370741482966,0.7256498038787818
ABRAND01163,601,50.4,-110.44,1,4,2,120,5,30,120,9199.8513363168,2,15,False,,,19,19,70,6,False,1,0,0,0.27054108216432865,0.727168105253788
