facility_ID,facility_name,operator_code,operator,lat,lon,required_surveys_aircraft,required_surveys_OGI,required_surveys_M21,OGI_time,M21_time,aircraft_time,OGI_FU_time
ABBT0040297,Brazeau River 16-35 Battery 'c'     ,0BP8,Obsidian Energy Ltd.                      ,53.1904984,-115.6380005,5,0,0,120,240,10,120
ABBT0040298,Brazeau River 16-35 Battery 'b'     ,0BP8,Obsidian Energy Ltd.                      ,53.1904984,-115.6380005,5,0,0,120,240,10,120
ABBT0040302,Amoco Ricinus 1-36 Gas Facility     ,0AW4,Paramount Resources Ltd.                  ,51.8694992,-114.9970016,5,0,0,120,240,10,120
ABBT0040339,Orbit Wilson Crk 14-7               ,A2TG,TAQA North Ltd.                           ,52.6964989,-114.5719986,5,0,0,120,240,10,120
ABBT0040351,Poco Killam 6-30                    ,0MP9,Zargon Oil & Gas Ltd.                     ,52.5559998,-112.0110016,5,0,0,120,240,10,120
ABBT0040357,Northstar Crossfield 16-21          ,A5RX,Bonavista Energy Corporation              ,51.4146996,-114.2160034,5,0,0,120,240,10,120
ABBT0040359,Worsley 14-28-087-07w6              ,0HE9,Canadian Natural Resources Limited        ,56.5792007,-119.0550003,5,0,0,120,240,10,120
ABBT0040381,Amoco Hb Pembina 16-31              ,0BP8,Obsidian Energy Ltd.                      ,53.2778015,-115.2969971,5,0,0,120,240,10,120
ABBT0040392,Brec Svstr Penhold 7-20             ,A2TG,TAQA North Ltd.                           ,52.0903015,-113.8410034,5,0,0,120,240,10,120
ABBT0040405,Amerada Ferrier Bty No. 5 10-7      ,A68P,Canlin Resources Partnership              ,52.5177002,-115.1380005,5,0,0,120,240,10,120
ABBT0040407,Solex Bonanza Gas Plant 11-22       ,A5Y4,Shoreline Energy Corp.                    ,56.037899,-119.6350021,5,0,0,120,240,10,120
ABBT0040446,Novalta Bassano 16-18               ,A7AG,Lynx Energy ULC                           ,50.7887993,-112.7539978,5,0,0,120,240,10,120
ABBT0040461,Pprl High Prairie 8-7               ,0BP8,Obsidian Energy Ltd.                      ,55.3073006,-116.4410019,5,0,0,120,240,10,120
ABBT0040470,Imperial Pembina 11-11              ,A5BE,Whitecap Resources Inc.                   ,53.303299,-115.5039978,5,0,0,120,240,10,120
ABBT0040477,Crestar Sutton 10-18                ,A7LX,Direct Oil & Gas Inc.                     ,56.9828987,-118.3059998,5,0,0,120,240,10,120
ABBT0040479,Ksituan 03-23-078-10w6              ,0HE9,Canadian Natural Resources Limited        ,55.7686005,-119.4380035,5,0,0,120,240,10,120
ABBT0040502,Crestar Gilby 13-6-40-2             ,0TM9,NAL Resources Limited                     ,52.4196014,-114.2870026,5,0,0,120,240,10,120
ABBT0040506,Husky Nipisi 2-20                   ,A6FW,Vermilion Energy Inc.                     ,56.0307999,-115.2109985,5,0,0,120,240,10,120
ABBT0040518,Cdn Oxy Pembina Bty 5-35            ,0XZ4,Bonterra Energy Corp.                     ,53.1833,-114.4860001,5,0,0,120,240,10,120
ABBT0040524,Canterra Provost 6d-10              ,A5TT,Tamarack Acquisition Corp.                ,51.9883995,-110.9240036,5,0,0,120,240,10,120
ABBT0040557,Lomapete Chauvs 1-10                ,A6A7,Cardinal Energy Ltd.                      ,52.6850014,-110.1999969,5,0,0,120,240,10,120
ABBT0040563,Ulster Provost 5b-14                ,0YK4,Surge Energy Inc.                         ,52.1776009,-110.6210022,5,0,0,120,240,10,120
ABBT0040574,Dynalta Taber N                     ,A09L,Enerstar Petroleum Corp.                  ,49.8530998,-112.197998,5,0,0,120,240,10,120
ABBT0040620,Signalta Viking-Kinsella 13-16      ,A73W,Enercapita Energy Ltd.                    ,53.1450005,-111.8539963,5,0,0,120,240,10,120
ABBT0040647,Fairborne Brazeau R 02-11           ,A73X,Boulder Energy Ltd.                       ,53.0341988,-116.0830002,5,0,0,120,240,10,120
ABBT0040658,Gne Cygnet 14-27                    ,A6L2,Canadian Oil & Gas International Inc.     ,52.2145996,-113.9240036,5,0,0,120,240,10,120
ABBT0040660,Petroman Fir 13-23                  ,A5RX,Bonavista Energy Corporation              ,54.0337982,-117.0210037,5,0,0,120,240,10,120
ABBT0040667,Pedco Pembina 12-23                 ,0BP8,Obsidian Energy Ltd.                      ,52.9840012,-115.0619965,5,0,0,120,240,10,120
ABBT0040681,Pcp Wayne 14-16                     ,A7NW,Torxen Energy Ltd.                        ,51.3125,-112.6210022,5,0,0,120,240,10,120
ABBT0040714,Morrison Retlaw 1-25                ,A16L,Wolf Coulee Resources Inc.                ,50.0206985,-112.3280029,5,0,0,120,240,10,120
ABBT0040715,Questar Berry 4-30                  ,0HE9,Canadian Natural Resources Limited        ,51.3306999,-111.5490036,5,0,0,120,240,10,120
ABBT0040769,Orlen Lochend 14-12-029-04w5        ,A2DE,ORLEN Upstream Canada Ltd.                ,51.4729004,-114.4380035,5,0,0,120,240,10,120
ABBT0040774,Craigmyle Belly River Bty 13-5      ,A5EB,Marquee Energy Ltd.                       ,51.7198982,-112.3880005,5,0,0,120,240,10,120
ABBT0040796,Pcp Wilson Creek 8-31               ,A727,Sifton Petroleum Inc.                     ,52.6595001,-114.5569992,5,0,0,120,240,10,120
ABBT0040812,Ryerson Bloor 10-25                 ,A7H2,AlphaBow Energy Ltd.                      ,51.8618011,-111.572998,5,0,0,120,240,10,120
ABBT0040844,Culp 05-34-078-25w5                 ,0HE9,Canadian Natural Resources Limited        ,55.8013992,-117.8000031,5,0,0,120,240,10,120
ABBT0040865,Chauvin 09-10-043-02 W4             ,39,Repsol Oil & Gas Canada Inc.              ,52.6921997,-110.1999969,5,0,0,120,240,10,120
ABBT0040870,Brazeau River 10-23-48-14w5         ,A5D4,Cenovus Energy Inc.                       ,53.1577988,-115.9369965,5,0,0,120,240,10,120
ABBT0040872,Corexcana Shadow 9-25 Bty #1        ,0BP8,Obsidian Energy Ltd.                      ,55.4420013,-116.7740021,5,0,0,120,240,10,120
ABBT0040876,Tripet Will Gr. 14-13               ,0BP8,Obsidian Energy Ltd.                      ,52.5359001,-114.7360001,5,0,0,120,240,10,120
ABBT0040916,Lomalta Cessford 8-31               ,A2PH,Journey Energy Inc.                       ,50.9995995,-111.7990036,5,0,0,120,240,10,120
ABBT0040919,Gex Medicine Hat 8-15               ,0BE8,GEX Resources Ltd.                        ,50.4319992,-110.3280029,5,0,0,120,240,10,120
ABBT0040920,Opinac Willesden Green 7-13         ,A2TG,TAQA North Ltd.                           ,52.5287018,-114.8740005,5,0,0,120,240,10,120
ABBT0040924,Hillcrest Narrows 6-33-75-12        ,A2PZ,KinMerc Oil & Gas Inc.                    ,55.5396004,-115.8030014,5,0,0,120,240,10,120
ABBT0040936,Vermilion Utikuma 8-15-81-10        ,A6FW,Vermilion Energy Inc.                     ,56.0199013,-115.4660034,5,0,0,120,240,10,120
ABBT0040978,Morrison Glen Park 8-18             ,A68P,Canlin Resources Partnership              ,53.1397018,-113.7839966,5,0,0,120,240,10,120
ABBT0040986,Pembina 2-13-48-2w5                 ,A632,Petrus Resources Corp.                    ,53.1358986,-114.1569977,5,0,0,120,240,10,120
ABBT0040992,Capco Provost 1a-15                 ,0YK4,Surge Energy Inc.                         ,52.1739998,-110.6269989,5,0,0,120,240,10,120
ABBT0041006,Auburndale Gas 11-32                ,0R46,Husky Oil Operations Limited              ,53.012001,-110.8410034,5,0,0,120,240,10,120
ABBT0041009,Pcp Wilson Ck 10-3                  ,A727,Sifton Petroleum Inc.                     ,52.678299,-114.4940033,5,0,0,120,240,10,120
ABBT0041016,Gilby 11-24-40-3w5                  ,A5D4,Cenovus Energy Inc.                       ,52.4594994,-114.3050003,5,0,0,120,240,10,120
ABBT0041021,Long Coulee 06-23-015-22w4          ,0HE9,Canadian Natural Resources Limited        ,50.2719002,-112.9280014,5,0,0,120,240,10,120
ABBT0041033,Marten Hills 06-07-078-01w5         ,0HE9,Canadian Natural Resources Limited        ,55.743,-114.1470032,5,0,0,120,240,10,120
ABBT0041041,Strath Provost 15c-23               ,0T82,Prairie Provident Resources Canada Ltd.   ,52.1994019,-110.4660034,5,0,0,120,240,10,120
ABBT0041044,Cabre Nipisi 2-25                   ,A5MT,Summerland Energy Inc.                    ,55.7831993,-115.0979996,5,0,0,120,240,10,120
ABBT0041045,Cabre Loon 4-34                     ,A5MT,Summerland Energy Inc.                    ,56.3209991,-115.3420029,5,0,0,120,240,10,120
ABBT0041054,Ksituan 08-32-078-09w6              ,0HE9,Canadian Natural Resources Limited        ,55.8013,-119.3479996,5,0,0,120,240,10,120
ABBT0041056,Pointer Michichi 6-10               ,A5EB,Marquee Energy Ltd.                       ,51.5525017,-112.4580002,5,0,0,120,240,10,120
ABBT0041070,Cdn Hunter Karr 16-36               ,0HE9,Canadian Natural Resources Limited        ,54.6741982,-118.4570007,5,0,0,120,240,10,120
ABBT0041078,Brazeau River 02-09-46-13w5         ,A5D4,Cenovus Energy Inc.                       ,52.9471016,-115.8239975,5,0,0,120,240,10,120
