facility_ID,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABRAND00188,54.37,-118.85,1,4,6,120,5,30,120
ABRAND00189,54.46,-118.82,1,4,6,120,5,30,120
ABRAND00190,54.43,-118.82,3,4,6,120,5,30,120
ABRAND00191,54.12,-118.81,1,4,6,120,5,30,120
ABRAND00192,54.49,-118.81,1,4,6,120,5,30,120
ABRAND00193,54.5,-118.8,1,4,6,120,5,30,120
ABRAND00194,54.55,-118.8,3,4,6,120,5,30,120
ABRAND00195,54.52,-118.79,1,4,6,120,5,30,120
ABRAND00196,54.93,-118.79,3,4,6,120,5,30,120
ABRAND00197,54.54,-118.78,1,4,6,120,5,30,120
ABRAND00198,54.31,-118.78,1,4,6,120,5,30,120
ABRAND00199,54.41,-118.77,3,4,6,120,5,30,120
ABRAND00200,54.45,-118.76,1,4,6,120,5,30,120
ABRAND00201,54.53,-118.76,1,4,6,120,5,30,120
ABRAND00202,54.32,-118.75,1,4,6,120,5,30,120
ABRAND00203,54.37,-118.75,3,4,6,120,5,30,120
ABRAND00204,54.23,-118.75,1,4,6,120,5,30,120
ABRAND00205,54.47,-118.75,1,4,6,120,5,30,120
ABRAND00206,54.2,-118.74,1,4,6,120,5,30,120
ABRAND00207,54.46,-118.74,1,4,6,120,5,30,120
ABRAND00208,54.34,-118.72,1,4,6,120,5,30,120
ABRAND00209,54.25,-118.72,1,4,6,120,5,30,120
ABRAND00210,54.19,-118.72,1,4,6,120,5,30,120
ABRAND00211,54.54,-118.72,1,4,6,120,5,30,120
ABRAND00212,54.53,-118.71,1,4,6,120,5,30,120
ABRAND00213,54.36,-118.71,1,4,6,120,5,30,120
ABRAND00214,54.45,-118.7,1,4,6,120,5,30,120
ABRAND00215,54.36,-118.7,3,4,6,120,5,30,120
ABRAND00216,54.19,-118.7,1,4,6,120,5,30,120
ABRAND00217,54.44,-118.7,1,4,6,120,5,30,120
ABRAND00218,54.35,-118.69,1,4,6,120,5,30,120
ABRAND00219,54.46,-118.69,1,4,6,120,5,30,120
ABRAND00220,54.45,-118.69,1,4,6,120,5,30,120
ABRAND00221,54.4,-118.68,1,4,6,120,5,30,120
ABRAND00222,54.4,-118.68,1,4,6,120,5,30,120
ABRAND00223,54.32,-118.67,1,4,6,120,5,30,120
ABRAND00224,54.44,-118.67,1,4,6,120,5,30,120
ABRAND00225,54.52,-118.66,1,4,6,120,5,30,120
ABRAND00226,54.3,-118.65,1,4,6,120,5,30,120
ABRAND00227,54.49,-118.63,1,4,6,120,5,30,120
ABRAND00228,54.55,-118.63,1,4,6,120,5,30,120
ABRAND00229,54.41,-118.63,1,4,6,120,5,30,120
ABRAND00230,54.62,-118.59,1,4,6,120,5,30,120
ABRAND00231,54.47,-118.58,1,4,6,120,5,30,120
ABRAND00232,54.26,-118.56,1,4,6,120,5,30,120
ABRAND00233,54.54,-118.55,1,4,6,120,5,30,120
ABRAND00234,54.25,-118.55,1,4,6,120,5,30,120
ABRAND00235,57.13,-118.54,3,4,6,120,5,30,120
ABRAND00236,54.39,-118.53,1,4,6,120,5,30,120
ABRAND00237,54.5,-118.48,3,4,6,120,5,30,120
ABRAND00238,54.31,-118.44,1,4,6,120,5,30,120
ABRAND00239,54.36,-118.42,1,4,6,120,5,30,120
ABRAND00240,54.2,-118.42,3,4,6,120,5,30,120
ABRAND00241,54.03,-118.38,1,4,6,120,5,30,120
ABRAND00242,54.28,-118.32,3,4,6,120,5,30,120
ABRAND00243,54.21,-118.16,1,4,6,120,5,30,120
ABRAND00244,54.12,-118.13,1,4,6,120,5,30,120
ABRAND00245,54.29,-118.1,1,4,6,120,5,30,120
ABRAND00246,56.99,-118.03,3,4,6,120,5,30,120
ABRAND00247,54.21,-118,1,4,6,120,5,30,120
ABRAND00248,54.07,-117.94,3,4,6,120,5,30,120
ABRAND00249,53.58,-117.9,1,4,6,120,5,30,120
ABRAND00250,56.24,-117.87,3,4,6,120,5,30,120
ABRAND00251,53.88,-117.85,1,4,6,120,5,30,120
ABRAND00252,53.78,-117.83,3,4,6,120,5,30,120
ABRAND00253,54.42,-117.79,1,4,6,120,5,30,120
