facility_ID,facility_name,operator_code,operator_name,subtype_code,subtype,license_number,EDCT_code,LDAR,EDCT_description,Licensee_code,operational_status,lat,lon,lat_adj,lon_adj,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time
ABCS0036189,Conocophillips Canada (brc) Ltd.    ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F36189    ,40,T,Compressor Stn <0.01,A5D4,Active,54.1490135,-117.4956512,54.15563375,-117.5142442,3,4,6,120,5,30,120
ABGS0145287,Berland 16-28-059-24w5 Comp Ggs     ,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F26841    ,10,T,Gas Plant <0.01     ,A573,Active,54.106781,-117.5168457,54.11787734,-117.5013648,3,4,6,120,5,30,120
ABGS0145538,Berland 06-31-060-24w5 Gwpo Comp Ggs,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F26841    ,10,T,Gas Plant <0.01     ,A573,Active,54.106781,-117.5168457,54.2213253,-117.4904073,3,4,6,120,5,30,120
ABBT0114770,Berland River 02-32-059-23w5        ,A5D4,Cenovus Energy Inc.                       ,322,Crude Oil Multiwell Proration Battery   ,F42788    ,30,A,Oil Multi Bty <0.01 ,A5D4,Active,54.1390305,-117.4134369,54.34359667,-117.4585352,3,4,6,120,5,30,120
ABBT0145210,Berland 16-26-060-26 W5 Gwpo Mwb    ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F26841    ,10,A,Gas Plant <0.01     ,A573,Active,54.106781,-117.5168457,53.96492945,-117.4335066,3,4,6,120,5,30,120
ABBT0145209,Berland 16-28-059-24w5 Compressor   ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F26841    ,10,A,Gas Plant <0.01     ,A573,Active,54.106781,-117.5168457,54.1167936,-117.4133091,3,4,6,120,5,30,120
ABCS0040570,Conocophillips Canada (brc) Ltd.    ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F40570    ,40,T,Compressor Stn <0.01,A5D4,Active,54.200489,-117.3690262,54.1675464,-117.4126576,3,4,6,120,5,30,120
ABCS0033140,Burlington Resources Canada (hunter),A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F33140    ,40,T,Compressor Stn <0.01,A5D4,Active,54.1539536,-117.5588608,54.00431018,-117.3890815,3,4,6,120,5,30,120
ABGS0145185,Berland 14-15-059-24w5 Ggs          ,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F26841    ,10,T,Gas Plant <0.01     ,A573,Active,54.106781,-117.5168457,54.08307698,-117.3847041,3,4,6,120,5,30,120
ABCS0013409,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F13409    ,411,A,Gas Multi Bty >=1t/d,39,Active,54.0611229,-117.4344559,54.1522676,-117.37369,3,4,6,120,5,30,120
ABCS0014560,Burlington Resources Canada Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F14560    ,40,T,Compressor Stn <0.01,0AW4,Active,54.7574463,-117.3374634,54.65398826,-117.3568637,3,4,6,120,5,30,120
ABGS0145223,Berland 12-36-059-24w5 Comp Ggs     ,A5D4,Cenovus Energy Inc.                       ,621,Gas Gathering System                    ,F36641    ,40,T,Compressor Stn <0.01,A5D4,Active,54.8417206,-117.2812271,54.67959846,-117.3066342,3,4,6,120,5,30,120
ABBT0105357,Brc Htr Bigsne 11-5-60-22           ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0316665 ,140,A,Single Well 0.00    ,A5D4,Active,54.1625862,-117.2652435,54.07509662,-117.2926243,3,4,6,120,5,30,120
ABBT0067370,Canadian Hunter Berland 14-15       ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,,,A,,,Active,54.1068077,-117.5167465,54.07770141,-117.2585687,3,4,6,120,5,30,120
ABBT0127197,Berland 14-15-59-23w5               ,A5D4,Cenovus Energy Inc.                       ,322,Crude Oil Multiwell Proration Battery   ,F45845    ,30,A,Oil Multi Bty <0.01 ,A5D4,Active,54.1085777,-117.3641281,53.97328033,-117.2578759,3,4,6,120,5,30,120
ABCS0026179,Conoco Canada Resources Limited     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F26179    ,40,T,Compressor Stn <0.01,A5C4,Active,53.3102303,-117.2396851,53.23175571,-117.2559652,3,4,6,120,5,30,120
ABBT0132810,Copol Hz Placid 15-32-59-23         ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F42788    ,30,A,Oil Multi Bty <0.01 ,A5D4,Active,54.1390305,-117.4134369,54.04593113,-117.2411447,3,4,6,120,5,30,120
ABBT0145186,Berland 12-36-059-24 W5             ,A5D4,Cenovus Energy Inc.                       ,361,Gas Multiwell Group Battery             ,F36641    ,40,A,Compressor Stn <0.01,A5D4,Active,54.8417206,-117.2812271,54.87484194,-117.1377701,3,4,6,120,5,30,120
ABBT0116886,Bigstone 02/02-06 Multi Well Oil Bty,A5D4,Cenovus Energy Inc.                       ,322,Crude Oil Multiwell Proration Battery   ,F42832    ,30,A,Oil Multi Bty <0.01 ,A5D4,Active,54.0656586,-117.1369705,53.99355975,-117.1036702,3,4,6,120,5,30,120
ABCS0022166,Canadian Hunter Exploration Ltd     ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F22166    ,411,A,Gas Multi Bty >=1t/d,A5RX,Active,54.0295181,-117.0095062,53.99033633,-117.0963811,3,4,6,120,5,30,120
ABBT0105747,102 Fir 2-6-59-21w5                 ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0413450 ,140,A,Single Well 0.00    ,A5D4,Active,54.0683479,-117.1358719,54.12259244,-117.0962305,3,4,6,120,5,30,120
ABBT0105746,102 Cecilia 9-36-58-22w5            ,A5D4,Cenovus Energy Inc.                       ,311,Crude Oil Single-Well Battery           ,W 0413143 ,140,A,Single Well 0.00    ,A5D4,Active,54.0599136,-117.1291885,53.85991139,-117.0879403,3,4,6,120,5,30,120
ABCS0011507,Conocophillips Canada Limited       ,A5D4,Cenovus Energy Inc.                       ,601,Compressor Station                      ,F11507    ,40,T,Compressor Stn <0.01,A7M1,Active,53.270359,-117.106041,53.17777523,-117.063763,3,4,6,120,5,30,120
